source,rule,r1,r2,r3,std_support,std_body,std_confidence,pca_support,pca_body,pca_confidence
inductive_inverse,"boyFirstCousinOnceRemovedOf(X,Y) -> greatAuntOf(Y,X)",boyFirstCousinOnceRemovedOf,greatAuntOf,,0,180,0.0,0,10,0.0
inductive_inverse,"boyFirstCousinOnceRemovedOf(X,Y) -> greatGranddaughterOf(Y,X)",boyFirstCousinOnceRemovedOf,greatGranddaughterOf,,0,180,0.0,0,54,0.0
inductive_inverse,"boyFirstCousinOnceRemovedOf(X,Y) -> greatGrandfatherOf(Y,X)",boyFirstCousinOnceRemovedOf,greatGrandfatherOf,,0,180,0.0,0,2,0.0
inductive_inverse,"boyFirstCousinOnceRemovedOf(X,Y) -> greatGrandmotherOf(Y,X)",boyFirstCousinOnceRemovedOf,greatGrandmotherOf,,0,180,0.0,0,0,0
inductive_inverse,"boyFirstCousinOnceRemovedOf(X,Y) -> greatGrandsonOf(Y,X)",boyFirstCousinOnceRemovedOf,greatGrandsonOf,,0,180,0.0,0,51,0.0
inductive_inverse,"boyFirstCousinOnceRemovedOf(X,Y) -> greatUncleOf(Y,X)",boyFirstCousinOnceRemovedOf,greatUncleOf,,0,180,0.0,0,5,0.0
inductive_inverse,"boyFirstCousinOnceRemovedOf(X,Y) -> motherOf(Y,X)",boyFirstCousinOnceRemovedOf,motherOf,,0,180,0.0,0,22,0.0
inductive_inverse,"boyFirstCousinOnceRemovedOf(X,Y) -> nephewOf(Y,X)",boyFirstCousinOnceRemovedOf,nephewOf,,0,180,0.0,0,82,0.0
inductive_inverse,"boyFirstCousinOnceRemovedOf(X,Y) -> nieceOf(Y,X)",boyFirstCousinOnceRemovedOf,nieceOf,,0,180,0.0,0,98,0.0
inductive_inverse,"boyFirstCousinOnceRemovedOf(X,Y) -> sisterOf(Y,X)",boyFirstCousinOnceRemovedOf,sisterOf,,0,180,0.0,0,68,0.0
inductive_inverse,"boyFirstCousinOnceRemovedOf(X,Y) -> sonOf(Y,X)",boyFirstCousinOnceRemovedOf,sonOf,,0,180,0.0,0,82,0.0
inductive_inverse,"boyFirstCousinOnceRemovedOf(X,Y) -> uncleOf(Y,X)",boyFirstCousinOnceRemovedOf,uncleOf,,0,180,0.0,0,27,0.0
inductive_inverse,"boySecondCousinOf(X,Y) -> auntOf(Y,X)",boySecondCousinOf,auntOf,,0,68,0.0,0,6,0.0
inductive_inverse,"boySecondCousinOf(X,Y) -> boyCousinOf(Y,X)",boySecondCousinOf,boyCousinOf,,0,68,0.0,0,4,0.0
